developer_name,projects_total,projects_completed,projects_active,total_units,avg_completion_percent,completion_rate,avg_duration_months,avg_delay_months
مؤسسة مدينة ميدان,6,5,1,936,99.7,83.3,52.7,0
الاصيل للاستثمارات ش.ذ.م.م,1,1,0,910,100.0,100.0,55.4,0
دي اتش ار اي 2 بي تي اس ش.ذ.م.م,5,0,5,889,0.4,0.0,36.7,0
سيتي ووك ريزيدينشال 1 ش.ذ.م.م,5,5,0,855,100.0,100.0,42.5,0
إلينجتون كارما للتطوير ذ.م.م,1,0,1,743,0.0,0.0,44.6,0
قريه الثقافه ( ش.ذ.م.م),5,2,3,669,44.2,40.0,15.6,0
اولد تاون فيوز ش.ذ.م.م,1,1,0,602,100.0,100.0,45.4,0
عقارات جميرا جولف ش.ذ.م.م,25,19,6,589,78.7,76.0,45.3,0
نشاما للتطوير ش.ذ.م.م,2,2,0,587,100.0,100.0,37.7,0
اعمار بوادي (ذ م م),2,0,2,576,23.0,0.0,64.9,0
دار جلوبال لكشري للتطوير العقاري ذ.م.م ش.ش.و,1,0,1,574,0.0,0.0,72.5,0
اراد للتطوير ذ م م للشخص الواحد,1,0,1,546,0.0,0.0,42.6,0
داماك ورلد ريل استيت ش.ذ.م.م,1,1,0,526,100.0,100.0,64.4,0
روف للضيافة ش.ذ.م.م,1,1,0,517,100.0,100.0,32.8,0
ديفكو لتطوير العقارات ش.ذ.م.م,2,1,1,513,94.5,50.0,28.0,0
ون زعبيل ذ.م.م,1,1,0,486,100.0,100.0,97.2,0
سيفين مايفير للتطوير العقاري ش.ذ.م.م,1,0,1,473,0.0,0.0,36.5,0
مجمع اعمال مركز دبى للسلع المتعدده م.د.م.س,1,1,0,418,100.0,100.0,37.2,0
داماك سي اس ال للاستثمار ش.ذ.م.م,1,0,1,414,13.0,0.0,0.0,0
دبي الجنوب للعقارات دي دبليو سي ش.ذ.م.م,4,1,3,305,25.0,25.0,29.1,0
شركة أبواب العقارية المحدودة (ش.ذ.م.م),3,3,0,302,100.0,100.0,45.6,0
بي دي أل أم ريزيدينشال ذ.م.م,1,1,0,284,100.0,100.0,40.7,0
مشاريع وسط دبي ش.ذ.م.م,1,1,0,269,100.0,100.0,39.6,0
الشركة الخليجية للاستثمارات العامة (ش.م.ع),2,2,0,252,100.0,100.0,37.1,0
دبي بينينسولا ش.ذ.م.م,5,0,5,251,0.0,0.0,42.8,0
ام ايه اس للتطوير العقاري ش.ذ.م.م,1,0,1,242,7.0,0.0,24.3,0
اوريون للتطوير العقاري ش.ذ.م.م,1,1,0,196,100.0,100.0,79.6,0
مراس باي أند ريزيدنس ش.ذ.م.م,2,2,0,181,100.0,100.0,35.1,0
إستثمار العقارية منطقة حرة ذ.م.م,1,1,0,164,100.0,100.0,54.9,0
جيرسي للتطوير العقاري ش.ذ.م.م,1,1,0,146,100.0,100.0,32.5,0
مدينه دبى الصناعيه ش ذ م م,4,3,1,138,75.0,75.0,39.9,0
بي جي هوتيل ريزيدينشال ش.ذ.م.م,1,1,0,65,100.0,100.0,37.7,0
جميرا باي ش.ذ.م.م,2,1,1,31,61.5,50.0,37.3,0
مرسى العرب ريزدنسز ش.ذ.م.م,1,1,0,31,100.0,100.0,47.0,0
مدينة دبي للغولف  (ش.ذ.م.م),1,0,1,8,83.0,0.0,136.9,0
الاريام المرحلة الاولى ش.ذ.م.م,5,5,0,0,100.0,100.0,31.8,0
الاريام المرحلة الثانية ش.ذ.م.م,3,3,0,0,100.0,100.0,42.9,0
جيه جي اي للعقارات ش.ذ.م.م,2,0,2,0,0.0,0.0,35.0,0
تنميات جلوبل للتطوير العقاري  ش ذ م م,3,3,0,0,100.0,100.0,16.6,0
جميرا باي ريزيدينشال ذ.م.م,1,1,0,0,100.0,100.0,34.0,0
جميرا بارك (ش.ذ.م.م),3,3,0,0,100.0,100.0,30.6,0
الفتان العقارية (ش.ذ.م.م),1,1,0,0,100.0,100.0,26.6,0
ام دي ان للعقارات ش.ذ.م.م,2,2,0,0,100.0,100.0,30.7,0
اي تي ايه ستار للتطوير العقاري ش.ذ.م.م,1,1,0,0,100.0,100.0,18.7,0
ايدن هيلز ش.ذ.م.م,1,0,1,0,2.0,0.0,22.1,0
شركة داماك ايليت للاستثمار ذ.م.م,17,0,17,0,0.2,0.0,45.9,0
شركة داماك العقارية (ش.ذ.م.م),2,2,0,0,100.0,100.0,37.5,0
شركة جزر جميرا (ش.ذ.م.م),1,1,0,0,100.0,100.0,36.8,0
ديزرت فالكون للتطوير العقاري ش.ذ.م.م,1,0,1,0,42.0,0.0,0.0,0
كريك هايتس للعقارات ش.ذ.م.م,1,1,0,0,100.0,100.0,110.0,0
عزيزي ديفليوبمنتس ش.ذ.م.م,1,0,1,0,0.0,0.0,24.3,0
كرستال ثري ش.ذ.م.م-منطقة حرة,1,0,1,0,67.0,0.0,42.0,0
مرسى العرب ش.ذ.م.م,1,1,0,0,100.0,100.0,42.8,0
